1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"(0, '199704280LAC')","(3, '199804250UTA')","(16, '199905120SAC')","(0, '200004290SEA')","(5, '200104280MIN')","(14, '200204220SAS')","(7, '200305020POR')","(7, '200404180SAC')","(10, '200504270PHO')","(4, '200604290DEN')","(3, '200704250SAS')","(11, '200804250DAL')","(4, '200904220DEN')","(15, '201004250SAS')","(9, '201104260LAL')","(2, '201204290LAL')","(8, '201304240SAS')","(0, '201404190OKC')","(10, '201504220LAC')","(2, '201604190SAS')","(6, '201704250SAS')","(2, '201804140GSW')","(2, '201904270DEN')","(2, '202008210UTA')","(6, '202105310MEM')","(2, '202204250PHI')","(10, '202304150SAC')","(7, '202404260DAL')"
"(16, '199705060CHI')","(13, '199804290HOU')","(9, '199905140SAC')","(8, '200005030SEA')","(5, '200104300MIN')","(9, '200204270SEA')","(9, '200305040DAL')","(9, '200404200SAC')","(9, '200504290MEM')","(6, '200605010LAC')","(8, '200704280DEN')","(9, '200804270DAL')","(16, '200904250NOH')","(2, '201004270DAL')","(4, '201104280NOH')","(9, '201205010LAL')","(3, '201304260LAL')","(10, '201404210OKC')","(0, '201504240SAS')","(13, '201604220MEM')","(10, '201704270MEM')","(8, '201804160GSW')","(3, '201904140POR')","(8, '202008230UTA')","(0, '202106020UTA')","(7, '202204280TOR')","(14, '202304170SAC')","(31, '202404280DAL')"
"(8, '199705080CHI')","(12, '199805010HOU')","(13, '199905160UTA')","(9, '200005050UTA')","(8, '200105060MIL')","(3, '200205010SEA')","(0, '200304200MIN')","(11, '200404240DAL')","(21, '200505010MEM')","(14, '200604230PHO')","(10, '200704300DEN')","(11, '200804290NOH')","(2, '200904270NOH')","(22, '201004290SAS')","(10, '201104160DAL')","(4, '201205040DEN')","(0, '201304280LAL')","(17, '201404240MEM')","(6, '201504260SAS')","(8, '201604240MEM')","(7, '201704160HOU')","(6, '201804190SAS')","(10, '201904160POR')","(15, '202008250DEN')","(11, '202105230NYK')","(0, '202204170PHO')","(0, '202304200GSW')","(4, '202405010LAC')"
"(10, '199705100ATL')","(0, '199805030UTA')","(6, '199905170IND')","(0, '200005060IND')","(5, '200105080MIL')","(2, '200205030SAS')","(0, '200304220MIN')","(8, '200404260DAL')","(9, '200504240SAS')","(3, '200604260PHO')","(11, '200705020SAS')","(16, '200804190SAS')","(9, '200904290DEN')","(9, '201004180PHO')","(8, '201104190DAL')","(7, '201205060DEN')","(9, '201304200DEN')","(14, '201404260MEM')","(14, '201504280LAC')","(0, '201604160OKC')","(15, '201704190HOU')","(3, '201804220SAS')","(16, '201904190OKC')","(10, '202008300UTA')","(15, '202105260NYK')","(9, '202204190PHO')","(10, '202304230GSW')","(13, '202405030DAL')"
"(2, '199705110ATL')","(15, '199805030CHI')","(5, '199905190IND')","(0, '200005080IND')","(10, '200105100CHH')","(5, '200205050DET')","(13, '200304240LAL')","(16, '200404290SAC')","(2, '200504270SAS')","(8, '200604280LAL')","(9, '200704210HOU')","(14, '200804220SAS')","(13, '200904180SAS')","(3, '201004200PHO')","(9, '201104210POR')","(7, '201205080LAL')","(3, '201304230DEN')","(20, '201404290OKC')","(10, '201504300SAS')","(8, '201604180OKC')","(15, '201704210OKC')","(9, '201804240GSW')","(7, '201904210OKC')","(19, '202009010DEN')","(6, '202105280ATL')","(13, '202204220NOP')","(10, '202304260SAC')","(5, '202404200MIN')"
"(7, '199705130CHI')","(9, '199805060CHI')","(13, '199905210PHI')","(8, '200005100PHI')","(13, '200105130CHH')","(0, '200205080DET')","(11, '200304270LAL')","(4, '200404170SAS')","(7, '200504300DEN')","(8, '200604300LAL')","(9, '200704230HOU')","(2, '200804250PHO')","(1, '200904200SAS')","(2, '201004220POR')","(23, '201104230POR')","(0, '201205100DEN')","(13, '201304260GSW')","(2, '201405010MEM')","(8, '201505020LAC')","(0, '201604210DAL')","(14, '201704230OKC')","(6, '201804140POR')","(15, '201904230POR')","(4, '202008180HOU')","(5, '202105300ATL')","(8, '202204240NOP')","(8, '202304280GSW')","(9, '202404230MIN')"
"(8, '199705070MIA')","(4, '199805080CHH')","(17, '199905230PHI')","(19, '200005130PHI')","(4, '200105150MIL')","(6, '200205100BOS')","(9, '200304290MIN')","(4, '200404190SAS')","(12, '200505020DEN')","(10, '200605020PHO')","(4, '200704260UTA')","(0, '200804270PHO')","(0, '200904230DAL')","(7, '201004240POR')","(8, '201104250DAL')","(16, '201205120LAL')","(4, '201304280GSW')","(11, '201405030OKC')","(0, '201504190MEM')","(5, '201604230DAL')","(11, '201704250HOU')","(11, '201804170POR')","(4, '201904140HOU')","(8, '202008200HOU')","(6, '202106020NYK')","(2, '202204260PHO')","(6, '202304300SAC')","(9, '202404260PHO')"
"(12, '199705090MIA')","(9, '199805100CHH')","(11, '199905180ATL')","(0, '200005150IND')","(15, '200105170CHH')","(10, '200205120BOS')","(6, '200305010LAL')","(10, '200404220MEM')","(5, '200505040SAS')","(10, '200605040LAL')","(5, '200704280UTA')","(9, '200804290SAS')","(9, '200904250DAL')","(14, '201004260PHO')","(12, '201104280POR')","(27, '201204290MEM')","(0, '201304300DEN')","(11, '201404190LAC')","(8, '201504220MEM')","(2, '201604250OKC')","(8, '201704150LAC')","(3, '201804190NOP')","(0, '201904170HOU')","(12, '202008220OKC')","(5, '202105230PHO')","(12, '202204280NOP')","(10, '202304160MEM')","(6, '202404280PHO')"
"(12, '199705110NYK')","(9, '199805130CHI')","(11, '199905200ATL')","(14, '200005190PHI')","(8, '200105200MIL')","(9, '200205140DET')","(9, '200304190SAC')","(6, '200404250MEM')","(0, '200504230SEA')","(4, '200605060PHO')","(10, '200704300HOU')","(13, '200804190HOU')","(0, '200904280SAS')","(16, '201004290POR')","(13, '201104170OKC')","(7, '201205020MEM')","(11, '201305020GSW')","(0, '201404210LAC')","(0, '201504250POR')","(8, '201604170LAC')","(0, '201704180LAC')","(6, '201804210NOP')","(8, '201904200UTA')","(15, '202008240OKC')","(15, '202105250PHO')","(3, '202204170MIA')","(3, '202304190MEM')","(12, '202404200DEN')"
"(3, '199705120NYK')","(19, '199805050IND')","(7, '199905230NYK')","(9, '200005070MIA')","(4, '200105060PHI')","(10, '200205050NJN')","(2, '200304210SAC')","(4, '200405030DET')","(4, '200504260SEA')","(2, '200604220SAS')","(7, '200705030UTA')","(9, '200804210HOU')","(0, '200904180POR')","(8, '201004170DEN')","(0, '201104200OKC')","(13, '201205050LAC')","(6, '201304200LAC')","(5, '201404240GSW')","(10, '201504270POR')","(2, '201604200LAC')","(14, '201704210UTA')","(12, '201804150OKC')","(14, '201904220UTA')","(13, '202008290HOU')","(5, '202105270LAL')","(7, '202204190MIA')","(0, '202304220LAL')","(20, '202404220DEN')"
